idx,note,channel,velocity,pretty_start,pretty_end,mido_start,mido_end,diff_start,diff_end
329,60,0,95,34.375000,34.750000,48.529387,49.058799,-14.154387,-14.308799
330,72,0,127,34.500000,34.750000,48.705858,49.058799,-14.205858,-14.308799
331,67,0,127,34.500000,35.000000,48.705858,49.411740,-14.205858,-14.411740
332,79,0,127,34.750000,35.000000,49.058799,49.411740,-14.308799,-14.411740
333,48,0,95,35.000000,35.500000,49.411740,50.117622,-14.411740,-14.617622
334,76,0,127,35.000000,35.500000,49.411740,50.117622,-14.411740,-14.617622
335,64,0,127,35.000000,36.000000,49.411740,50.823504,-14.411740,-14.823504
336,67,0,127,35.000000,36.000000,49.411740,50.823504,-14.411740,-14.823504
337,55,0,95,35.250000,35.500000,49.764681,50.117622,-14.514681,-14.617622
338,60,0,95,35.250000,35.500000,49.764681,50.117622,-14.514681,-14.617622
339,72,0,127,35.500000,35.750000,50.117622,50.470563,-14.617622,-14.720563
340,55,0,95,35.750000,36.000000,50.470563,50.823504,-14.720563,-14.823504
341,59,0,95,35.750000,36.000000,50.470563,50.823504,-14.720563,-14.823504
342,79,0,127,35.750000,36.000000,50.470563,50.823504,-14.720563,-14.823504
343,72,0,127,36.000000,36.250000,50.823504,51.176445,-14.823504,-14.926445
344,79,0,127,36.000000,36.250000,50.823504,51.176445,-14.823504,-14.926445
